Name,Positions,Age,OVA,Potential,Team,Contract,Value,Wage,Total
21 B. Saidani,CDM,27,66,67,Damac FC,2020 ~ 2021,€875K,€6K,1612
22 Mario Rodríguez,LM,24,61,64,Warta Poznań,2020 ~ 2022,€450K,€750,1474
22 F. Ambríz,CM,18,61,73,Club León,2020 ~ 2023,€750K,€1K,1635
21 J. Mazzaco,LB,20,63,76,Rosario Central,2020 ~ 2022,€1.1M,€2K,1637
22 A. Mourid,CDM,21,59,70,CD Leganés,2019 ~ 2024,€475K,€1K,1444
21 G. Can,CB,20,60,73,Denizlispor,2021 ~ 2023,€550K,€2K,1597
20 L. Díaz,LB,20,57,66,CD Universidad de Concepción,2019 ~ 2023,€140K,€550,1374
A. Tanghe,CB,23,67,75,KV Oostende,2020 ~ 2026,€2.1M,€4K,1490
S. González,CB,21,60,72,CD Antofagasta,2020 ~ 2022,€575K,€500,1299
22 M. Isais,RW,20,60,72,Pachuca,2022 ~ 2025,€600K,€2K,1450
D. Ovando,RM,20,62,76,Caracas Fútbol Club,2022 ~ 2023,€950K,€500,1460
21 Nacho Díaz,ST,20,62,75,Cádiz CF,2021 ~ 2022,€975K,€4K,1471
22 Javi Castro,CB,20,66,78,RC Celta de Vigo,"Jun 30, 2022 On Loan",€1.9M,€2K,1498
20 R. El Barjiji,CM,17,57,75,FC Utrecht,2019 ~ 2021,€200K,€500,1562
R. Boženík,ST,22,68,75,Boavista FC,"Jun 30, 2023 On Loan",€2.5M,€5K,1741
20 E. Bejtulai,CB,25,60,65,Helsingborgs IF,2020 ~ 2022,€250K,€550,1435
B. Duke,CM,21,61,74,Inter Miami CF,2022 ~ 2022,€800K,€1K,1607
D. Matijaš,GK,22,62,69,Royal Antwerp FC,2020 ~ 2023,€700K,€2K,897
J. Nekadio,CB,20,59,69,Standard de Liège,2020 ~ 2023,€450K,€2K,1335
22 D. Seger,RM,21,62,68,Örebro SK,2020 ~ 2022,€650K,€850,1569
21 W. Donkin,CAM,19,54,67,Stabæk Fotball,2020 ~ 2020,€250K,€500,1428
21 André Mesquita,RW,22,63,70,Santa Clara,2020 ~ 2023,€975K,€1K,1562
21 M. Rosales,CM,20,54,66,Club Deportivo Jorge Wilstermann,2020 ~ 2021,€250K,€500,1474
22 M. Niemelä,GK,19,55,70,HJK Helsinki,2019 ~ 2022,€250K,€500,839
21 R. Josipović,GK,19,60,77,Dinamo Zagreb,2018 ~ 2024,€575K,€500,948
22 J. Campaña,LM,18,60,72,Argentinos Juniors,2020 ~ 2023,€575K,€750,1501
20 M. Pereira,CB,26,63,66,Liverpool Fútbol Club,2020 ~ 2023,€400K,€500,1349
F. Roca,ST,22,63,72,Club Deportivo Oriente Petrolero,2020 ~ 2022,€1.1M,€500,1453
22 L. Cárdenas,GK,30,64,64,Club Deportivo Jorge Wilstermann,2022 ~ 2022,€400K,€500,947
21 L. Vaca,GK,20,55,66,Club Deportivo Oriente Petrolero,2020 ~ 2021,€240K,€500,896
22 M. Barbery,CM,19,64,77,Club Atlético Nacional Potosí,2019 ~ 2022,€1.4M,€500,1631
22 M. Cabral,ST,20,61,68,Club Atlético Nacional Potosí,2019 ~ 2022,€650K,€500,1513
22 N. Machado,ST,24,56,61,Centro Atlético Fénix,2020 ~ 2022,€220K,€500,1316
N. Ruíz,RW,24,64,69,Metropolitanos de Caracas FC,2021 ~ 2022,€875K,€500,1633
21 M. Draghi,GK,27,60,63,Estudiantes de Mérida,2020 ~ 2024,€240K,€500,884
21 I. González,CB,36,59,59,Zamora Fútbol Club,2020 ~ 2024,€40K,€500,1322
O. Nkambadio,GK,19,58,73,Paris FC,2020 ~ 2023,€425K,€500,907
21 J. Cuellar,CB,29,62,63,Club Atlético Nacional Potosí,2020 ~ 2024,€375K,€500,1384
21 Zabarte,CB,21,62,74,CA Osasuna,2019 ~ 2021,€925K,€3K,1529
M. Pineda,CB,24,66,75,Chicago Fire Football Club,2020 ~ 2022,€1.8M,€2K,1470
22 D. Tursunov,CB,26,64,67,Chongqing Liangjiang Athletic,2021 ~ 2023,€675K,€2K,1360
22 M. Iloski,ST,21,59,68,Real Salt Lake,2020 ~ 2021,€500K,€1K,1450
20 Kim Hyeong Won,CB,20,55,65,Gyeongnam FC,2020 ~ 2020,€120K,€750,1259
20 Kim Jun Hyeok,RW,18,47,62,Gyeongnam FC,2020 ~ 2020,€60K,€500,1327
22 M. Oravec,CDM,23,65,69,Philadelphia Union,2020 ~ 2022,€925K,€2K,1630
20 Kim Ho Su,RW,21,47,54,Gyeongnam FC,2020 ~ 2020,€40K,€900,1226
20 Kim Yeong Han,LB,21,50,60,Gyeongnam FC,2020 ~ 2020,€45K,€700,1305
Kang Eui Bin,CB,24,56,65,Seongnam FC,2021 ~ 2026,€300K,€800,1249
20 Seok Sang Beom,RB,21,51,62,Gyeongnam FC,2020 ~ 2020,€60K,€750,1280
20 Kim Yeong Geun,RW,22,44,49,Gyeongnam FC,2020 ~ 2020,€40K,€900,1150
20 Sim Min Yong,CB,17,52,73,Gyeongnam FC,2020 ~ 2020,€100K,€500,1120
A. Șeroni,CB,35,65,65,FC Botoşani,2020 ~ 2023,€190K,€2K,1346
T. Břečka,CB,28,67,68,Kasimpaşa SK,2020 ~ 2023,€975K,€5K,1420
22 N. Nikolić,RB,20,61,75,Olympiacos CFP,2019 ~ 2023,€750K,€500,1530
20 N. Craiu,CAM,20,57,74,FC Voluntari,2020 ~ 2021,€230K,€1K,1425
21 M. Özkal,CB,20,58,66,Denizlispor,2020 ~ 2023,€425K,€2K,1347
22 João Monteiro,GK,20,60,71,Belenenses SAD,2019 ~ 2023,€475K,€600,879
21 B. Edwards,GK,24,56,62,FC Cincinnati,2020 ~ 2021,€180K,€850,1100
21 J. Enamorado,LW,21,59,67,Deportivo Cali,2019 ~ 2024,€500K,€500,1448
21 J. Isita,ST,26,61,64,Club Always Ready,2020 ~ 2024,€425K,€500,1399
21 M. Garzón,CM,19,58,69,Club Always Ready,2019 ~ 2024,€450K,€500,1446
21 R. Kobiljar,CAM,24,59,63,KFC Uerdingen 05,2020 ~ 2021,€325K,€1K,1506
20 F. Rodríguez,ST,26,63,64,Club Deportes Tolima,2019 ~ 2023,€450K,€1K,1414
22 G. Xenitidis,CM,21,60,71,Olympiacos CFP,2021 ~ 2022,€550K,€500,1681
22 I. Karargyris,GK,19,60,76,Olympiacos CFP,2019 ~ 2022,€575K,€500,933
21 G. Firpo,CDM,31,63,63,Liverpool Fútbol Club,2020 ~ 2020,€325K,€500,1470
22 B. Pierrick,LM,19,58,70,Vejle Boldklub,2021 ~ 2026,€475K,€1K,1452
B. Martínez,RW,22,68,75,Club Atlético Aldosivi,"Dec 31, 2022 On Loan",€2.5M,€6K,1773
R. Bacchia,GK,23,66,71,Club Atlético Independiente,2017 ~ 2022,€1M,€3K,1023
L. Owusu,CDM,25,65,69,Vancouver Whitecaps FC,2020 ~ 2022,€900K,€2K,1565
21 R. Romeo,CB,20,56,69,Toronto FC,2020 ~ 2022,€325K,€900,1277
R. van der Venne,CAM,30,65,65,Melbourne City FC,2022 ~ 2024,€700K,€3K,1745
P. Kioso,RWB,22,66,73,Rotherham United,2022 ~ 2025,€1.6M,€4K,1681
21 R. Doyle,CM,19,50,64,Cork City,2019 ~ 2024,€110K,€500,1386
20 D. Maldonado,CB,21,64,73,Pachuca,2020 ~ 2023,€625K,€3K,1401
M. Vera,RB,23,65,73,Club Atlético Lanús,2020 ~ 2023,€1.5M,€4K,1655
21 N. Billingsley,RB,22,60,66,Minnesota United FC,2020 ~ 2024,€375K,€1K,1657
J. Candia,ST,27,69,69,Rosario Central,2022 ~ 2025,€1.5M,€9K,1781
20 G. Barone,CM,20,55,64,Perugia,2020 ~ 2020,€120K,€550,1443
20 Kim Min Seok,CB,20,53,63,Incheon United FC,2020 ~ 2023,€90K,€550,1264
22 Kim Yu Sung,GK,20,54,65,Incheon United FC,2020 ~ 2022,€200K,€500,811
20 Lee Jong Wook,ST,20,53,63,Incheon United FC,2020 ~ 2023,€100K,€700,1314
20 Ham Hwi Jin,LB,21,52,60,Incheon United FC,2020 ~ 2023,€70K,€550,1337
22 Riuler,CDM,23,59,66,Shonan Bellmare,2020 ~ 2022,€425K,€700,1597
M. Pérez,CB,22,67,74,Club Atlético Lanús,2020 ~ 2026,€1.9M,€5K,1491
V. Dekić,GK,22,60,69,Pisa,2020 ~ 2022,€475K,€550,938
F. Emmings,GK,18,50,73,Minnesota United FC,2020 ~ 2022,€130K,€500,819
R. Johansson,CDM,21,60,71,Sevilla FC,2020 ~ 2026,€525K,€3K,1543
21 M. Reátegui,CB,25,60,65,Club Atlético Grau,2020 ~ 2024,€325K,€500,1517
J. Nelson,LM,19,62,76,Toronto FC,2020 ~ 2022,€950K,€900,1631
22 P. García,RM,21,66,75,Club Nacional de Football,2020 ~ 2022,€1.9M,€500,1577
21 L. Pertusatti,RB,18,59,75,Club Nacional de Football,2020 ~ 2023,€550K,€500,1432
22 K. Miyamoto,CDM,25,61,66,Shimizu S-Pulse,2018 ~ 2023,€450K,€800,1625
22 E. Noriega,CB,19,56,68,Shimizu S-Pulse,2021 ~ 2024,€325K,€500,1488
22 Y. Suzuki,CAM,19,64,73,Shimizu S-Pulse,2020 ~ 2024,€1.3M,€750,1639
21 R. Marshall,RWB,25,63,67,Shamrock Rovers,2020 ~ 2021,€625K,€750,1606
21 J. Gutiérrez,CAM,28,63,63,Club Deportivo Oriente Petrolero,2020 ~ 2022,€475K,€500,1615
21 J. Browne,ST,19,48,60,Finn Harps,2020 ~ 2021,€110K,€500,1187
21 João Felipe,LW,19,65,78,SK Slavia Praha,2019 ~ 2023,€1.7M,€500,1643
21 Moreno,LM,18,64,79,Rayo Vallecano,2019 ~ 2022,€1.4M,€700,1586
21 C. Núñez,CDM,26,61,64,Centro Atlético Fénix,2020 ~ 2022,€375K,€500,1470
D. Celea,CB,26,65,67,AFC Chindia Târgoviște,2021 ~ 2023,€775K,€2K,1500
22 H. Calderón,CM,27,63,63,Aragua Fútbol Club,2020 ~ 2022,€500K,€500,1554
21 L. Kovács,CDM,27,60,63,Sepsi OSK Sf. Gheorghe,2020 ~ 2022,€275K,€2K,1613
20 J. Jellis,CM,18,50,65,Stevenage,2020 ~ 2020,€60K,€650,1412
N. Morgantini,RB,27,66,67,Platense,"Dec 31, 2022 On Loan",€900K,€5K,1758
E. Shamir,CM,27,67,68,Standard de Liège,2020 ~ 2023,€1.2M,€6K,1836
20 J. Kranthove,CB,18,57,70,Leicester City,2019 ~ 2021,€170K,€3K,1280
22 T. Nevers,RM,19,59,75,West Ham United,2021 ~ 2024,€575K,€5K,1497
21 J. Pósito,ST,30,62,62,Cusco Fútbol Club,2020 ~ 2021,€400K,€500,1433
21 M. Delgado,CB,32,61,61,Cusco Fútbol Club,2020 ~ 2021,€210K,€500,1410
21 J. Pretel,GK,36,62,62,Cusco Fútbol Club,2020 ~ 2021,€45K,€500,986
21 P. Gutiérrez,RW,28,61,61,Cusco Fútbol Club,2020 ~ 2021,€325K,€500,1478
S. Berhalter,CDM,21,62,73,Vancouver Whitecaps FC,2022 ~ 2023,€850K,€1K,1665
22 D. Zago,CM,19,56,71,Puebla FC,2022 ~ 2025,€350K,€850,1623
22 D. Ochsenham,GK,21,54,66,Adelaide United,2021 ~ 2022,€230K,€500,872
22 I. Vázquez,LWB,20,58,68,Puebla FC,2021 ~ 2024,€425K,€1K,1528
22 S. Velkov,CB,24,62,69,MSV Duisburg,2021 ~ 2022,€750K,€1K,1547
22 G. Caschili,CM,17,58,75,PEC Zwolle,2020 ~ 2024,€500K,€500,1556
22 S. Mokono,RB,22,61,69,FC Utrecht,2017 ~ 2024,€700K,€2K,1518
21 J. Houweling,GK,20,55,68,FC Utrecht,2019 ~ 2021,€275K,€1K,842
20 G. Çulhacı,LB,19,61,74,FC Utrecht,2017 ~ 2023,€425K,€2K,1486
22 E. Maddy,RW,20,61,72,FC Utrecht,2020 ~ 2022,€725K,€2K,1482
22 F. Monzón,ST,20,64,74,Vélez Sarsfield,2019 ~ 2023,€1.3M,€3K,1525
22 V. Guzmán,CB,19,65,79,Club Tijuana,2020 ~ 2022,€1.6M,€3K,1557
20 M. Başar,ST,18,59,72,Antalyaspor,2019 ~ 2022,€275K,€1K,1394
20 D. Carré,GK,19,59,73,KSV Cercle Brugge,2019 ~ 2020,€275K,€750,886
20 D. Díaz,CAM,29,64,64,Jaguares de Córdoba Fútbol Club,2020 ~ 2023,€450K,€550,1683
22 S. Zobo,ST,20,58,69,Toulouse Football Club,2019 ~ 2022,€450K,€1K,1414
22 Y. Someya,CB,34,61,61,Kashiwa Reysol,2019 ~ 2023,€110K,€2K,1282
22 M. Hosoya,ST,19,66,76,Kashiwa Reysol,2020 ~ 2023,€1.9M,€2K,1536
22 Y. Yamada,CAM,21,59,68,Kashiwa Reysol,2020 ~ 2023,€500K,€1K,1479
22 F. Unoki,LM,19,58,64,Kashiwa Reysol,2020 ~ 2023,€300K,€1K,1489
22 K. Matsumoto,GK,24,56,60,Kashiwa Reysol,2020 ~ 2023,€160K,€1K,892
22 T. Kamijima,CB,24,64,66,Kashiwa Reysol,2019 ~ 2023,€675K,€2K,1389
T. Suslov,CAM,20,71,80,FC Groningen,2018 ~ 2026,€4.1M,€5K,1842
K. Slor,LM,20,62,72,FC Groningen,2020 ~ 2025,€875K,€1K,1516
22 T. Poll,LB,18,62,72,FC Groningen,2018 ~ 2022,€800K,€550,1578
22 M. Bakker,GK,20,61,73,AZ Alkmaar,2018 ~ 2023,€700K,€900,936
20 Y. Roulaux,GK,20,59,67,PSV,2017 ~ 2020,€180K,€1K,969
20 B. Haak,GK,18,52,69,FC Emmen,2020 ~ 2020,€90K,€500,829
22 A. Doldán,CB,24,68,74,Atlético Tucumán,"Dec 31, 2022 On Loan",€1.7M,€4K,1505
22 E. Sierra,CAM,19,64,77,Heracles Almelo,2021 ~ 2024,€1.4M,€1K,1605
20 S. Bastiaens,GK,18,53,67,KRC Genk,2020 ~ 2020,€100K,€500,836
21 D. Dabo,CDM,27,58,58,Kilmarnock,2021 ~ 2021,€190K,€1K,1472
A. Dumitrescu,LB,21,64,75,Sepsi OSK Sf. Gheorghe,2020 ~ 2023,€1.3M,€2K,1549
22 D. Bhagat,LB,22,48,56,Hyderabad FC,2020 ~ 2022,€100K,€500,1229
22 N. Kuveljić,CDM,24,63,69,Wisła Kraków,2020 ~ 2023,€700K,€1K,1573
22 T. Akumu Agay,CDM,28,64,64,Kaizer Chiefs,2020 ~ 2023,€525K,€500,1536
22 F. Paredes,RB,22,69,76,Defensa y Justicia,"Dec 31, 2021 On Loan",€2.7M,€6K,1782
Óscar Clemente,RM,23,67,76,Unión Deportiva Las Palmas,2020 ~ 2023,€2.3M,€3K,1601
21 C. Silva,CAM,26,53,54,Centro Atlético Fénix,2020 ~ 2021,€110K,€500,1402
22 W. Álvarez,ST,25,62,65,Club Deportivo Guabirá,2020 ~ 2022,€525K,€500,1487
21 J. Paredes,CB,35,59,59,Club Sportivo Luqueño,2020 ~ 2024,€60K,€500,1341
21 J. Castillo,LB,21,61,69,C.D. Universidad Católica del Ecuador,2020 ~ 2024,€700K,€500,1613
J. Carabalí,LB,25,67,71,C.D. Universidad Católica del Ecuador,2020 ~ 2022,€1.3M,€500,1769
21 D. Segura,LW,21,63,72,Puebla FC,2020 ~ 2021,€1.1M,€2K,1485
22 J. Aguilar,CB,28,65,65,Club Sol de América,2021 ~ 2022,€625K,€500,1436
21 Edi Semedo,RW,21,64,74,Belenenses SAD,2019 ~ 2023,€1.3M,€2K,1462
22 I. Shkurin,ST,21,66,72,Raków Częstochowa,2020 ~ 2024,€1.4M,€2K,1666
20 Cláudio Tavares,RB,22,62,68,Desportivo das Aves,2016 ~ 2020,€375K,€2K,1697
L. Ramírez,CM,24,66,70,Caracas Fútbol Club,2020 ~ 2022,€1.2M,€500,1645
22 D. Tijanić,CAM,23,68,75,Göztepe SK,2021 ~ 2026,€2.4M,€6K,1859
20 Jang Jae Won,CM,21,54,65,Ulsan Hyundai FC,2020 ~ 2023,€110K,€1K,1485
21 Lee Hyung Kyeong,ST,22,54,62,Ulsan Hyundai FC,2020 ~ 2022,€240K,€1K,1296
22 Tomás Castro,CAM,22,62,71,Belenenses SAD,2017 ~ 2022,€900K,€1K,1596
22 J. Rivas,RB,18,61,73,Club Universidad Nacional,2022 ~ 2025,€725K,€650,1422
21 S. Manríquez,LB,20,59,69,Club Tijuana,2021 ~ 2021,€475K,€2K,1399
22 K. Elliott,ST,20,54,67,Huddersfield Town,2018 ~ 2022,€250K,€1K,1319
20 Y. Epitaux,CB,18,53,65,Neuchâtel Xamax FCS,2019 ~ 2020,€90K,€500,1215
22 A. Hernández,CDM,28,62,63,Aragua Fútbol Club,2020 ~ 2022,€375K,€500,1570
N. Kenneh,CDM,19,64,74,Hibernian,2022 ~ 2025,€1.2M,€1K,1658
20 A. López,ST,21,57,64,Deportivo Toluca,2016 ~ 2023,€150K,€3K,1371
22 A. Martínez,CB,27,64,65,Club Always Ready,2022 ~ 2022,€600K,€500,1366
21 S. Zamora,CAM,17,59,74,Club León,2019 ~ 2025,€525K,€500,1544
20 N. Solabarrieta,ST,22,56,63,Club Deportivo Palestino,2020 ~ 2023,€130K,€800,1315
21 A. Liebeskind,GK,35,61,61,AC Mineros de Guayana,2020 ~ 2021,€35K,€500,962
21 E. González,GK,30,61,61,AC Mineros de Guayana,2020 ~ 2021,€220K,€500,923
E. Munjoma,RB,23,58,65,FC Dallas,2020 ~ 2025,€400K,€1K,1510
20 M. Pérez,ST,24,58,65,Alianza Petrolera,2019 ~ 2020,€180K,€550,1372
20 J. Castillo,CDM,22,54,63,Alianza Petrolera,2020 ~ 2023,€100K,€500,1467
A. Benítez,RB,28,68,68,Minnesota United FC,2022 ~ 2024,€1.1M,€4K,1698
20 R. Rojas,ST,26,59,59,Atlético Bucaramanga,2020 ~ 2020,€170K,€500,1378
T. Beason,CB,25,65,69,San Jose Earthquakes,2020 ~ 2022,€900K,€2K,1435
V. Morar,ST,28,61,61,FC Farul Constanța,2022 ~ 2024,€325K,€2K,1506
S. Nilsen,GK,22,60,70,Sarpsborg 08 FF,2020 ~ 2025,€475K,€550,942
22 S. Cartagena,CDM,18,63,76,Montevideo City Torque,2022 ~ 2025,€1.1M,€500,1599
20 C. Duma,ST,22,61,69,Club Nacional de Football,2020 ~ 2021,€375K,€500,1394
22 R. Orihuela,CB,20,65,78,Montevideo City Torque,2020 ~ 2023,€1.6M,€500,1562
21 S. Gollnack,ST,18,55,69,SG Dynamo Dresden,2019 ~ 2022,€300K,€650,1315
B. Milovanov,RB,24,67,74,FC Arouca,2022 ~ 2024,€1.9M,€2K,1651
M. El Ghezouani,ST,24,59,66,Elche CF,2019 ~ 2022,€450K,€3K,1423
21 M. Muratovic,ST,20,56,63,Wellington Phoenix,2020 ~ 2021,€275K,€750,1462
22 Y. Oda,CF,19,59,71,Vissel Kobe,2020 ~ 2024,€550K,€1K,1520
Juande,CB,22,66,77,Málaga CF,2018 ~ 2024,€1.8M,€2K,1527
22 M. Sündermann,GK,23,56,63,Hannover 96,2019 ~ 2022,€240K,€3K,942
Kim Min Jun,RM,22,61,73,Ulsan Hyundai FC,2020 ~ 2022,€800K,€2K,1508
Kim Jae Sung,CM,22,51,60,Ulsan Hyundai FC,2020 ~ 2022,€130K,€2K,1431
21 M. Ava Dongo,CB,24,60,64,Royal Antwerp FC,2020 ~ 2023,€325K,€3K,1378
21 E. Björndahl,ST,29,57,57,Örebro SK,2020 ~ 2022,€160K,€1K,1364
20 V. Torres,LB,23,59,62,Club Tijuana,2020 ~ 2021,€170K,€3K,1475
J. Recalde,ST,30,68,68,Club Olimpia,2020 ~ 2025,€1.2M,€500,1616
W. Ibarrola,LB,25,64,67,Club Nacional,2022 ~ 2022,€725K,€500,1493
21 D. Dietze,ST,22,54,59,Club Sol de América,2020 ~ 2022,€170K,€500,1282
L. Tramoni,RM,19,63,76,Cagliari,2020 ~ 2023,€1.1M,€650,1633
21 T. Al Ali,LM,21,57,66,Al Wehda,2020 ~ 2025,€375K,€3K,1436
22 B. Hjertstrand,LB,27,61,61,Örebro SK,2020 ~ 2022,€325K,€1K,1504
B. Anunga,CDM,25,62,67,Nashville SC,2020 ~ 2024,€525K,€1K,1590
22 E. Lopez,GK,22,54,64,LA Galaxy,2020 ~ 2022,€210K,€800,830
21 R. Kawamoto,ST,19,57,70,Shimizu S-Pulse,2020 ~ 2022,€400K,€550,1400
22 I. Kuribara,ST,19,56,68,Shimizu S-Pulse,2020 ~ 2023,€350K,€550,1419
22 K. Miyamoto,CDM,25,61,66,Shimizu S-Pulse,2018 ~ 2023,€450K,€800,1625
J. Sekidika,RM,25,68,69,Galatasaray SK,2020 ~ 2024,€1.4M,€21K,1723
21 D. Jama,RW,21,63,71,LDU Quito,2021 ~ 2021,€1.1M,€500,1444
21 R. Medina,ST,25,62,67,LDU Quito,2020 ~ 2024,€600K,€500,1456
20 T. Vidmajer,LB,27,60,60,ŁKS Łódź,2020 ~ 2022,€180K,€950,1445
21 F. Nicosia,GK,30,62,62,Sport Huancayo,2020 ~ 2021,€275K,€500,935
20 Samu Corral,ST,27,59,59,ŁKS Łódź,2020 ~ 2022,€170K,€1K,1391
22 L. Torres,CM,24,64,69,Club Atlético Central Córdoba,2020 ~ 2023,€875K,€3K,1694
21 H. Espínola,CB,25,60,63,Club Nacional,2020 ~ 2021,€300K,€500,1325
21 D. Ulysse,RB,21,58,66,Inter Miami CF,2019 ~ 2024,€425K,€900,1384
21 Lee Ki Woon,CB,23,54,61,Ulsan Hyundai FC,2020 ~ 2024,€200K,€1K,1297
20 Cho Hyun Taek,LB,17,54,74,Ulsan Hyundai FC,2020 ~ 2023,€120K,€500,1426
22 S. Abe,CDM,23,67,71,FC Tokyo,2020 ~ 2023,€1.3M,€3K,1826
22 H. Nakamura,RB,23,62,66,FC Tokyo,2020 ~ 2023,€525K,€2K,1510
21 T. Nozawa,GK,17,54,72,FC Tokyo,2020 ~ 2022,€240K,€500,914
Benito,LM,23,66,71,Dynamo Kyiv,2020 ~ 2023,€1.3M,€500,1501
22 A. Al Dheyabi,CDM,22,52,61,Damac FC,2020 ~ 2025,€170K,€2K,1417
22 M. Afana,ST,30,60,60,Abha Club,2020 ~ 2025,€240K,€2K,1477
21 T. Penninkangas,CB,27,55,56,Sligo Rovers,2020 ~ 2024,€130K,€500,1230
20 H. Bulut,CM,20,58,67,Göztepe SK,2019 ~ 2024,€200K,€3K,1586
20 J. Villeda,GK,21,68,76,Tiburones Rojos de Veracruz,2020 ~ 2023,€1M,€2K,960
22 P. Adorno,CB,25,65,69,Club Atlético Huracán,2019 ~ 2023,€900K,€3K,1395
22 J. Vennings,CM,20,55,68,Charlton Athletic,2019 ~ 2022,€300K,€1K,1498
A. Odoh,LW,21,62,69,Rochdale,2021 ~ 2023,€800K,€2K,1609
21 M. Abeijón,ST,20,63,72,Liverpool Fútbol Club,2020 ~ 2024,€1.1M,€500,1447
21 J. Powell,RB,19,56,68,Charlton Athletic,2019 ~ 2021,€325K,€750,1369
21 S. Amorín,GK,25,65,70,Liverpool Fútbol Club,2020 ~ 2021,€825K,€500,1027
N. Harness,GK,22,53,65,Charlton Athletic,2019 ~ 2023,€200K,€1K,849
21 S. Vasilantonopoulos,RB,28,69,69,AEK Athens,2015 ~ 2024,€1.3M,€600,1766
G. Sardelis,LW,21,60,71,Panathinaikos FC,2021 ~ 2024,€550K,€500,1562
20 D. Pámanes,ST,24,62,66,Tiburones Rojos de Veracruz,2020 ~ 2023,€400K,€2K,1702
20 R. Di Leonardo,CM,25,66,69,Tiburones Rojos de Veracruz,2020 ~ 2023,€800K,€3K,1820
21 C. Zúñiga,ST,28,62,62,Club Alianza Lima,2020 ~ 2020,€400K,€500,1499
22 J. Moreno,CB,21,63,70,Caracas Fútbol Club,2020 ~ 2022,€900K,€500,1613
22 A. Barboza,CB,26,65,67,Centro Atlético Fénix,2020 ~ 2022,€775K,€500,1550
21 D. Ramírez,CM,25,55,58,Club Atlético Grau,2020 ~ 2021,€170K,€500,1473
22 T. Cantoro,ST,20,62,71,Club Universitario de Deportes,2020 ~ 2023,€875K,€500,1506
A. Araque,ST,33,64,64,Estudiantes de Mérida,2020 ~ 2022,€375K,€500,1533
21 D. Cabrera,LM,22,58,63,FBC Melgar,2020 ~ 2022,€325K,€500,1327
22 L. Rojas,CAM,19,59,71,Bologna,"Jun 30, 2022 On Loan",€525K,€500,1474
J. Gubbins,CB,20,54,69,Queens Park Rangers,2017 ~ 2023,€240K,€3K,1222
S. Müller,ST,21,63,74,Hallescher FC,"Jun 30, 2023 On Loan",€1.1M,€3K,1515
20 A. Valencia,RW,19,54,69,Universidad de Chile,2020 ~ 2023,€150K,€1K,1359
A. Bondarenko,CAM,21,65,78,Shakhtar Donetsk,2019 ~ 2025,€1.8M,€500,1740
21 D. Olivera,RM,20,59,68,Club Atlético Peñarol,2020 ~ 2021,€500K,€500,1493
20 J. Martínez,RB,20,62,76,Tigres U.A.N.L.,2020 ~ 2023,€625K,€7K,1553
20 Léo Chão,LW,19,62,74,Vitória de Setúbal,2018 ~ 2020,€525K,€900,1406
21 T. Hamasaki,CDM,27,66,68,Vegalta Sendai,2020 ~ 2022,€925K,€2K,1694
22 Y. Obata,GK,19,63,76,Vegalta Sendai,2020 ~ 2022,€1M,€500,1070
R. Seweryś,CB,18,58,71,Korona Kielce,2019 ~ 2023,€450K,€500,1376
22 D. Ventúra,CDM,25,61,66,FC Academica Clinceni,2020 ~ 2023,€450K,€1K,1729
A. Albu,CDM,28,67,67,Rapid București,2021 ~ 2024,€900K,€4K,1849
20 L. Skovajsa,LB,25,60,63,FC Dinamo 1948 Bucureşti,2020 ~ 2023,€230K,€2K,1508
20 D. Barraza,CB,19,57,67,Cruz Azul,2020 ~ 2021,€150K,€2K,1314
20 S. González Vega,CAM,21,57,66,Cruz Azul,2016 ~ 2022,€160K,€3K,1475
22 I. Cazal,RM,22,65,74,Club Sol de América,2020 ~ 2024,€1.6M,€500,1464
S. Gonzáles,ST,22,60,64,Ayacucho,2022 ~ 2022,€375K,€500,1450
22 R. Nuñez,CM,23,59,64,Centro Atlético Fénix,2020 ~ 2022,€350K,€500,1557
22 M. García,CM,21,61,70,Club Universidad Nacional,2021 ~ 2025,€725K,€2K,1695
21 T. Oneto,CB,22,59,68,Sociedad Deportiva Aucas,2020 ~ 2024,€475K,€500,1338
22 W. Álvarez,ST,25,62,65,Club Deportivo Guabirá,2020 ~ 2022,€525K,€500,1487
22 R. Banegas,GK,25,63,67,Club Deportivo Jorge Wilstermann,2021 ~ 2022,€525K,€500,945
21 D. Gril,GK,19,55,71,TSG Hoffenheim,2020 ~ 2024,€300K,€1K,842
21 S. Rivadeneyra,GK,25,63,66,Club Alianza Lima,2020 ~ 2021,€500K,€500,895
21 R. Spenhay,CM,22,56,64,"Club Social, Cultural y Deportivo de Blooming",2020 ~ 2025,€325K,€500,1570
L. Casiani,RB,20,61,69,Cerro Largo Fútbol Club,2020 ~ 2022,€675K,€500,1465
21 F. Boné,LM,24,63,66,Club Atlético River Plate,2018 ~ 2022,€650K,€500,1555
J. Montenegro,RM,25,65,68,Club Deportivo Guabirá,2022 ~ 2022,€950K,€500,1597
21 J. Luna,CB,26,60,63,Club Sportivo Luqueño,2020 ~ 2020,€275K,€500,1359
21 N. Dávila,CM,24,57,62,Club Deportivo El Nacional,2020 ~ 2024,€250K,€500,1525
21 H. Quiñonez,LB,27,59,60,Club Deportivo El Nacional,2020 ~ 2024,€240K,€500,1416
21 F. Aragón,CM,26,59,62,Club Sportivo Luqueño,2020 ~ 2024,€300K,€500,1565
